year,avg_temp
1743,1.19
1744,9.63
1745,-1.37
1746,
1747,
1748,
1749,
1750,7.88
1751,8.60
1752,0.36
1753,7.35
1754,7.75
1755,4.28
1756,7.76
1757,6.65
1758,6.09
1759,6.80
1760,5.53
1761,8.05
1762,7.42
1763,4.99
1764,7.36
1765,6.73
1766,7.96
1767,6.28
1768,6.74
1769,6.94
1770,6.99
1771,7.72
1772,7.44
1773,7.97
1774,7.35
1775,8.08
1776,6.83
1777,6.56
1778,4.75
1779,-2.31
1780,
1781,7.61
1782,6.98
1783,6.64
1784,6.24
1785,6.32
1786,6.81
1787,6.81
1788,7.60
1789,7.25
1790,7.22
1791,7.11
1792,6.47
1793,7.81
1794,7.76
1795,7.02
1796,6.82
1797,6.70
1798,7.37
1799,6.85
1800,7.59
1801,8.01
1802,8.24
1803,7.81
1804,7.43
1805,8.26
1806,7.05
1807,6.89
1808,7.31
1809,6.57
1810,7.24
1811,7.43
1812,5.48
1813,6.61
1814,6.36
1815,6.13
1816,5.83
1817,5.57
1818,5.91
1819,6.99
1820,6.80
1821,6.52
1822,7.37
1823,6.26
1824,7.04
1825,8.00
1826,7.84
1827,6.96
1828,8.45
1829,6.74
1830,7.72
1831,7.15
1832,6.67
1833,6.76
1834,6.91
1835,5.97
1836,5.28
1837,5.59
1838,6.36
1839,6.95
1840,6.98
1841,6.83
1842,6.93
1843,6.30
1844,6.57
1845,7.01
1846,7.37
1847,7.12
1848,7.06
1849,6.58
1850,6.72
1851,6.61
1852,6.69
1853,7.12
1854,6.95
1855,6.92
1856,5.92
1857,6.64
1858,6.56
1859,6.57
1860,6.90
1861,7.04
1862,6.77
1863,6.92
1864,7.14
1865,7.49
1866,6.77
1867,6.42
1868,5.89
1869,6.68
1870,7.91
1871,6.63
1872,6.41
1873,6.00
1874,6.47
1875,5.28
1876,6.83
1877,7.79
1878,8.01
1879,6.85
1880,7.61
1881,7.35
1882,6.89
1883,6.18
1884,7.08
1885,6.33
1886,6.95
1887,6.80
1888,5.89
1889,7.98
1890,7.15
1891,7.91
1892,7.23
1893,6.43
1894,7.75
1895,7.27
1896,7.28
1897,7.53
1898,8.01
1899,7.53
1900,7.95
1901,7.29
1902,7.46
1903,7.35
1904,5.85
1905,6.83
1906,7.61
1907,6.48
1908,7.85
1909,7.43
1910,7.62
1911,7.73
1912,7.16
1913,8.58
1914,6.89
1915,7.98
1916,7.05
1917,6.04
1918,7.17
1919,7.90
1920,7.16
1921,8.52
1922,7.71
1923,7.07
1924,6.88
1925,7.68
1926,6.39
1927,7.99
1928,7.81
1929,7.70
1930,8.21
1931,8.74
1932,8.19
1933,7.89
1934,7.29
1935,7.30
1936,7.58
1937,8.26
1938,8.38
1939,7.55
1940,6.68
1941,8.16
1942,8.03
1943,7.22
1944,7.87
1945,7.96
1946,8.28
1947,7.96
1948,7.68
1949,9.30
1950,7.85
1951,8.27
1952,8.58
1953,9.33
1954,8.12
1955,8.20
1956,7.45
1957,8.51
1958,7.20
1959,8.41
1960,7.81
1961,7.94
1962,7.09
1963,7.44
1964,7.74
1965,7.49
1966,7.77
1967,7.34
1968,7.55
1969,7.97
1970,7.70
1971,7.79
1972,7.19
1973,8.97
1974,7.86
1975,8.35
1976,7.52
1977,7.88
1978,7.07
1979,8.32
1980,7.54
1981,8.02
1982,7.62
1983,8.54
1984,8.30
1985,7.86
1986,7.84
1987,7.97
1988,7.90
1989,7.51
1990,9.20
1991,9.08
1992,7.40
1993,7.84
1994,7.96
1995,8.13
1996,7.93
1997,7.87
1998,9.63
1999,9.30
2000,8.00
2001,8.91
2002,9.02
2003,7.78
2004,8.09
2005,8.56
2006,9.48
2007,8.36
2008,8.53
2009,8.07
2010,9.58
2011,9.12
2012,10.06
2013,10.38
